expiration,strike,bid,ask,mid,TimeToExpiration,implied_volatility
2026-08-21 23:59:59,766.0,2.23,2.25,2.24,0.005479452054794521,0.0975422697533069
2026-08-24 23:59:59,766.0,3.13,3.15,3.1399999999999997,0.0136986301369863,0.0826365558150159
2026-08-25 23:59:59,765.0,4.27,4.37,4.32,0.01643835616438356,0.09048018534446282
2026-08-26 23:59:59,765.0,5.07,5.14,5.105,0.019178082191780823,0.1012430739340203
2026-08-27 23:59:59,766.0,5.12,5.2,5.16,0.021917808219178082,0.10666325151312697
2026-08-28 23:59:59,766.0,5.93,5.96,5.945,0.024657534246575342,0.11588855134835155
2026-08-31 23:59:59,766.0,6.49,6.52,6.505,0.03287671232876712,0.10770479193030864
2026-09-04 23:59:59,766.0,8.45,8.49,8.469999999999999,0.043835616438356165,0.12085179779202991
2026-09-11 23:59:59,766.0,10.32,10.36,10.34,0.06301369863013699,0.12052220766292263
2026-09-18 23:59:59,766.0,12.04,12.09,12.065,0.0821917808219178,0.12112817394124646
2026-09-25 23:59:59,766.0,13.19,13.25,13.219999999999999,0.10136986301369863,0.11719971126151983
2026-09-30 23:59:59,766.0,14.12,14.16,14.14,0.11506849315068493,0.11636980740465319
2026-10-02 23:59:59,765.0,15.48,15.53,15.504999999999999,0.12054794520547946,0.12047292970768171
2026-10-16 23:59:59,766.0,18.15,18.2,18.174999999999997,0.1589041095890411,0.1254469895598336
2026-10-30 23:59:59,766.0,21.34,21.5,21.42,0.19726027397260273,0.1312430460417465
2026-11-20 23:59:59,765.0,26.43,26.54,26.485,0.2547945205479452,0.13781567389995664
2026-11-30 23:59:59,766.0,27.22,27.37,27.295,0.2821917808219178,0.13611078107476726
2026-12-18 23:59:59,765.0,31.46,31.6,31.53,0.3315068493150685,0.14132814192014995
2026-12-31 23:59:59,765.0,32.81,32.97,32.89,0.36712328767123287,0.13788319442590585
2027-01-15 23:59:59,765.0,35.78,35.96,35.870000000000005,0.40821917808219177,0.14216809813872086
2027-01-29 23:59:59,766.0,37.63,37.85,37.74,0.4465753424657534,0.14433313450995947
2027-03-19 23:59:59,765.0,46.88,47.1,46.99,0.5808219178082191,0.15338031465917384
2027-03-31 23:59:59,765.0,47.95,48.16,48.055,0.6136986301369863,0.15097764509547967
2027-06-17 23:59:59,765.0,60.72,61.01,60.864999999999995,0.8273972602739726,0.16235138382818295
2027-06-30 23:59:59,766.0,61.14,61.44,61.29,0.863013698630137,0.1599648765142263
2027-09-17 23:59:59,765.0,73.47,73.81,73.64,1.0794520547945206,0.1681742289901937
2027-12-17 23:59:59,765.0,84.63,85.12,84.875,1.3287671232876712,0.17085892526766155
2028-01-21 23:59:59,765.0,85.6,90.0,87.8,1.4246575342465753,0.16804287704869067
2028-06-16 23:59:59,765.0,102.99,107.01,105.0,1.8273972602739725,0.1730953954273288
2028-12-15 23:59:59,765.0,121.76,125.98,123.87,2.326027397260274,0.1755276893305767
