expiration,strike,bid,ask,mid,TimeToExpiration,implied_volatility
2026-07-17 23:59:59,21.0,0.47,0.57,0.52,0.021917808219178082,0.306048715534355
2026-07-24 23:59:59,21.0,0.73,0.85,0.79,0.0410958904109589,0.37900144493551724
2026-07-31 23:59:59,21.0,0.9,1.48,1.19,0.06027397260273973,0.5038539982010934
2026-08-07 23:59:59,21.0,1.15,1.54,1.345,0.07945205479452055,0.5007253848943256
2026-08-14 23:59:59,21.0,0.59,2.99,1.79,0.09863013698630137,0.6157245935889243
2026-08-21 23:59:59,21.0,1.44,2.1,1.77,0.1178082191780822,0.5532337917340696
2026-09-18 23:59:59,21.0,2.16,2.72,2.4400000000000004,0.19452054794520549,0.6036274651801468
2026-12-18 23:59:59,21.0,3.0,5.7,4.35,0.4438356164383562,0.7300538549255443
2027-01-15 23:59:59,21.0,3.5,5.15,4.325,0.5205479452054794,0.6645058788250997
2027-03-19 23:59:59,21.0,4.55,6.9,5.725,0.6931506849315069,0.776922394278925
2028-01-21 23:59:59,21.0,7.2,10.8,9.0,1.536986301369863,0.8448829444071303
